Wall time,Step,Value
1723074741.2369554,466,466.0
1723074754.0937111,467,467.0
1723074779.4282908,469,469.0
1723074804.9115527,471,471.0
1723074855.771834,475,475.0
1723074868.4827232,476,476.0
1723074906.5022988,479,479.0
1723074932.3991864,481,481.0
1723074944.9433613,482,482.0
1723074982.767357,485,485.0
1723075020.802553,488,488.0
1723075033.3626816,489,489.0
1723075045.9818776,490,490.0
1723075071.362106,492,492.0
1723075108.9999301,495,495.0
1723075159.0499191,499,499.0
1723075209.4495692,503,503.0
1723075222.1892912,504,504.0
1723075297.8425713,510,510.0
1723075310.4162781,511,511.0
1723075322.9404838,512,512.0
1723075335.3958502,513,513.0
1723075347.9441793,514,514.0
1723075360.4437833,515,515.0
1723075398.4189272,518,518.0
1723075411.0058494,519,519.0
1723075423.695932,520,520.0
1723075599.9362407,534,534.0
1723075612.517278,535,535.0
1723075637.6297402,537,537.0
1723075650.2807648,538,538.0
1723075662.7397764,539,539.0
1723075687.8781242,541,541.0
1723075713.0864315,543,543.0
1723075738.0759158,545,545.0
1723075763.3019588,547,547.0
1723075775.9800968,548,548.0
1723075813.6765954,551,551.0
1723075838.6352587,553,553.0
1723075876.7101066,556,556.0
1723075889.5840359,557,557.0
1723075966.6867604,563,563.0
1723075979.4171443,564,564.0
1723075992.0897214,565,565.0
1723076042.7366195,569,569.0
1723076080.971848,572,572.0
1723076106.3703854,574,574.0
1723076144.530393,577,577.0
1723076195.3917794,581,581.0
1723076246.1984775,585,585.0
1723076258.9476662,586,586.0
1723076297.3516958,589,589.0
1723076322.624407,591,591.0
1723076335.281085,592,592.0
1723076373.8111122,595,595.0
1723076399.1940372,597,597.0
1723076424.7226646,599,599.0
1723076437.456145,600,600.0
1723076475.5887585,603,603.0
1723076488.3025742,604,604.0
1723076551.5005195,609,609.0
1723076614.7619452,614,614.0
1723076627.481734,615,615.0
1723076652.957371,617,617.0
1723076704.1716738,621,621.0
1723076729.8578303,623,623.0
1723076742.3454516,624,624.0
1723076780.1991549,627,627.0
1723076805.5586076,629,629.0
1723076818.195916,630,630.0
1723076868.8923113,634,634.0
1723076919.2972982,638,638.0
1723076956.952876,641,641.0
1723076969.541992,642,642.0
1723076982.114797,643,643.0
1723076994.6853642,644,644.0
1723077007.4046743,645,645.0
1723077071.115674,650,650.0
1723077096.6753635,652,652.0
1723077109.2512348,653,653.0
1723077134.6835449,655,655.0
1723077147.2910795,656,656.0
1723077185.3753214,659,659.0
1723077210.7281408,661,661.0
1723077298.6827202,668,668.0
1723077336.6967857,671,671.0
1723077399.6870842,676,676.0
1723077412.1562486,677,677.0
1723077462.0572455,681,681.0
1723077500.4235148,684,684.0
1723077513.1274924,685,685.0
1723077551.053434,688,688.0
1723077613.864866,693,693.0
1723077638.9666533,695,695.0
1723077664.1693985,697,697.0
1723077676.7147884,698,698.0
1723077701.9349067,700,700.0
1723077740.2220578,703,703.0
1723077753.080875,704,704.0
1723077778.3474245,706,706.0
1723077841.5239499,711,711.0
1723077866.8798919,713,713.0
1723077905.4132917,716,716.0
1723077930.8034856,718,718.0
1723077968.5863283,721,721.0
1723077980.9957218,722,722.0
1723078005.9675748,724,724.0
1723078031.1185708,726,726.0
1723078043.7019937,727,727.0
1723078068.9743617,729,729.0
1723078081.5172744,730,730.0
1723078106.7234433,732,732.0
1723078119.2348957,733,733.0
