id	score6
seq_110	-2.283480644226074
seq_111	-2.3085453510284424
seq_112	-2.2563319206237793
seq_113	-2.2596993446350098
seq_114	-2.282721757888794
seq_115	-2.2546534538269043
seq_116	-2.273216485977173
seq_117	-2.263476848602295
seq_118	-2.2653355598449707
seq_119	-2.2481789588928223
seq_120	-2.265428304672241
seq_121	-2.272247314453125
seq_122	-2.268444538116455
seq_123	-2.257937431335449
seq_124	-2.2882461547851562
seq_125	-2.2882461547851562
seq_126	-2.2593400478363037
seq_127	-2.2806804180145264
seq_128	-2.2319722175598145
seq_129	-2.2703843116760254
seq_130	-2.2444891929626465
seq_131	-2.263474225997925
seq_132	-2.271188974380493
seq_133	-2.2460970878601074
seq_134	-2.262885332107544
seq_135	-2.234614849090576
seq_136	-2.234614849090576
seq_137	-2.2422449588775635
seq_138	-2.2411203384399414
seq_139	-2.236623525619507
seq_140	-2.253105878829956
seq_141	-2.2550442218780518
seq_142	-2.272348642349243
seq_143	-2.223649501800537
seq_144	-2.260078191757202
seq_145	-2.261659622192383
seq_146	-2.2785253524780273
seq_147	-2.260892391204834
seq_148	-2.2739148139953613
seq_149	-2.263688802719116
seq_150	-2.2786669731140137
seq_151	-2.258436441421509
seq_152	-2.2410449981689453
seq_153	-2.2842109203338623
seq_154	-2.263704538345337
seq_155	-2.2519140243530273
seq_156	-2.2519140243530273
seq_157	-2.2230563163757324
seq_158	-2.2830450534820557
seq_159	-2.248260974884033
seq_160	-2.2530698776245117
seq_161	-2.2644758224487305
seq_162	-2.2615725994110107
seq_163	-2.2904117107391357
seq_164	-2.2904117107391357
seq_165	-2.2666587829589844
seq_166	-2.266225576400757
seq_167	-2.268527030944824
seq_168	-2.2755372524261475
seq_169	-2.2651119232177734
seq_170	-2.2597808837890625
seq_171	-2.253568172454834
seq_172	-2.232665777206421
seq_173	-2.247302532196045
seq_174	-2.2730796337127686
seq_175	-2.2774527072906494
seq_176	-2.285508871078491
seq_177	-2.2562613487243652
seq_178	-2.260347604751587
seq_179	-2.2303905487060547
seq_180	-2.2771449089050293
seq_181	-2.2771449089050293
seq_182	-2.266446828842163
seq_183	-2.271484613418579
seq_184	-2.287242889404297
seq_185	-2.252858877182007
seq_186	-2.252858877182007
seq_187	-2.284517288208008
seq_188	-2.2595529556274414
seq_189	-2.2683792114257812
seq_190	-2.279177188873291
seq_191	-2.278008460998535
seq_192	-2.239219903945923
seq_193	-2.2398951053619385
seq_194	-2.3143038749694824
seq_195	-2.295041084289551
seq_196	-2.295041084289551
seq_197	-2.2766220569610596
seq_198	-2.2671291828155518
seq_199	-2.2624943256378174
seq_200	-2.2590548992156982
seq_201	-2.2597110271453857
seq_202	-2.2684781551361084
seq_203	-2.271214723587036
seq_204	-2.271214723587036
seq_205	-2.2409274578094482
seq_206	-2.274080276489258
seq_207	-2.266465187072754
seq_208	-2.255061149597168
seq_209	-2.2806832790374756
seq_210	-2.3012783527374268
seq_211	-2.261047124862671
seq_212	-2.264039993286133
seq_213	-2.264039993286133
seq_214	-2.2454352378845215
seq_215	-2.2454352378845215
seq_216	-2.2608790397644043
seq_217	-2.248044490814209
seq_218	-2.248044490814209
seq_219	-2.263723611831665
seq_220	-2.2481470108032227
seq_221	-2.2594149112701416
seq_222	-2.2590959072113037
seq_223	-2.2212069034576416
seq_224	-2.2378571033477783
seq_225	-2.269850254058838
seq_226	-2.269850254058838
seq_227	-2.2451395988464355
seq_228	-2.255254030227661
seq_229	-2.266167640686035
seq_230	-2.2844245433807373
seq_231	-2.230410099029541
seq_232	-2.284909725189209
seq_233	-2.284909725189209
seq_234	-2.2515764236450195
seq_235	-2.27488374710083
seq_236	-2.2650957107543945
seq_237	-2.2650957107543945
seq_238	-2.2795603275299072
seq_239	-2.2563865184783936
seq_240	-2.2364342212677
seq_241	-2.269379138946533
seq_242	-2.253253698348999
seq_243	-2.253253698348999
seq_244	-2.253253698348999
seq_245	-2.272386312484741
seq_246	-2.2773079872131348
seq_247	-2.2727901935577393
seq_248	-2.2249886989593506
seq_249	-2.245011329650879
seq_250	-2.2764084339141846
seq_251	-2.2849316596984863
seq_252	-2.257863759994507
seq_253	-2.257863759994507
seq_254	-2.268448829650879
seq_255	-2.2425003051757812
seq_256	-2.2949531078338623
seq_257	-2.2328577041625977
seq_258	-2.2674403190612793
seq_259	-2.3232009410858154
seq_260	-2.2877461910247803
seq_261	-2.242971897125244
seq_262	-2.2706339359283447
seq_263	-2.265779733657837
seq_264	-2.280534505844116
seq_265	-2.2516374588012695
seq_266	-2.2562930583953857
seq_267	-2.2628564834594727
seq_268	-2.280924081802368
seq_269	-2.2434139251708984
seq_270	-2.280754566192627
seq_271	-2.286669969558716
seq_272	-2.264894485473633
seq_273	-2.2711687088012695
seq_274	-2.2704992294311523
seq_275	-2.270537853240967
seq_276	-2.275028944015503
seq_277	-2.2649083137512207
seq_278	-2.263782024383545
seq_279	-2.291532039642334
seq_280	-2.248629331588745
seq_281	-2.2263474464416504
seq_282	-2.2709081172943115
seq_283	-2.2659738063812256
seq_284	-2.2833645343780518
seq_285	-2.2652993202209473
seq_286	-2.2283992767333984
seq_287	-2.2283992767333984
seq_288	-2.257390022277832
seq_289	-2.2822086811065674
seq_290	-2.2822086811065674
seq_291	-2.261662483215332
seq_292	-2.2705271244049072
seq_293	-2.2657926082611084
seq_294	-2.26106595993042
seq_295	-2.2579450607299805
seq_296	-2.2434022426605225
seq_297	-2.272554874420166
seq_298	-2.2231242656707764
seq_299	-2.2629950046539307
seq_300	-2.281409978866577
seq_301	-2.266207456588745
seq_302	-2.276968002319336
seq_303	-2.285181760787964
seq_304	-2.2681612968444824
seq_305	-2.2756474018096924
seq_306	-2.2681612968444824
seq_307	-2.247448444366455
seq_308	-2.271404504776001
seq_309	-2.255671977996826
seq_310	-2.2567763328552246
seq_311	-2.2623867988586426
seq_312	-2.258220672607422
seq_313	-2.259589433670044
seq_314	-2.2792162895202637
seq_315	-2.2504847049713135
seq_316	-2.2436881065368652
seq_317	-2.3016562461853027
seq_318	-2.270967960357666
seq_319	-2.2703561782836914
seq_320	-2.247962713241577
seq_321	-2.2661964893341064
seq_322	-2.271092176437378
seq_323	-2.2719533443450928
seq_324	-2.267130136489868
seq_325	-2.2634341716766357
seq_326	-2.2684004306793213
seq_327	-2.2809877395629883
seq_328	-2.258601665496826
seq_329	-2.286926746368408
seq_330	-2.2610435485839844
seq_331	-2.246021270751953
seq_332	-2.246021270751953
seq_333	-2.2472262382507324
seq_334	-2.2472262382507324
seq_335	-2.265035629272461
seq_336	-2.265321731567383
seq_337	-2.2649123668670654
seq_338	-2.260502338409424
seq_339	-2.2666046619415283
seq_340	-2.251885175704956
seq_341	-2.2598934173583984
seq_342	-2.2598934173583984
seq_343	-2.2592525482177734
seq_344	-2.264302968978882
seq_345	-2.2876086235046387
seq_346	-2.2699825763702393
seq_347	-2.2229108810424805
seq_348	-2.2229108810424805
seq_349	-2.2173244953155518
seq_350	-2.2591240406036377
seq_351	-2.2654151916503906
seq_352	-2.2654151916503906
