Wall time,Step,Value
1723058785.9300272,425,-3.0350088309205603e-07
1723058798.8036144,426,-2.4160740963452554e-07
1723058811.6709962,427,-1.8958448322337063e-07
1723058824.4178247,428,-1.9680857121784356e-07
1723058837.0972211,429,-2.1788477511108795e-07
1723058849.9192653,430,-2.2308229574719007e-07
1723058862.6947,431,-2.3452639652532525e-07
1723058875.505636,432,-2.454698062592797e-07
1723058888.210024,433,-2.488314976289985e-07
1723058913.6198876,435,-2.4263260911538964e-07
1723058926.4613693,436,-1.9578337173697946e-07
1723058939.3498259,437,-2.1809934480643278e-07
1723058952.0789216,438,-2.1123288718172262e-07
1723058965.0538065,439,-1.7642378224991262e-07
1723058977.8039653,440,-2.81995539808122e-07
1723058990.8843172,441,-2.570569392901234e-07
1723059003.5994394,442,-3.5502313266988494e-07
1723059016.3268018,443,-2.963483325402194e-07
1723059028.9940686,444,-2.789556958759931e-07
1723059041.593933,445,-3.696262638186454e-07
1723059054.254138,446,-2.9571651793958154e-07
1723059066.9874222,447,-2.663910265710001e-07
1723059079.7593896,448,-3.1505226161243627e-07
1723059105.142183,450,-4.2396186472615227e-07
1723059117.8257155,451,-4.6573279632866615e-07
1723059130.4492292,452,-4.3855308717866137e-07
1723059143.3203998,453,-4.4513342345453566e-07
1723059156.0960808,454,-4.792750019078085e-07
1723059168.8953125,455,-4.4451354597185855e-07
1723059181.605146,456,-4.518329888014705e-07
1723059194.4437196,457,-4.211246960039716e-07
1723059220.029003,459,-4.669487339015177e-07
1723059232.5943162,460,-4.388511172237486e-07
1723059245.2838464,461,-4.5339464804783347e-07
1723059257.8739011,462,-4.5990347530278086e-07
1723059270.6993876,463,-4.152476549279527e-07
1723059283.6297605,464,-4.001080924354028e-07
1723059296.535655,465,-4.236280801706016e-07
1723059309.3688583,466,-4.3430924279164174e-07
1723059322.327667,467,-3.9673446394772327e-07
1723059335.0642874,468,-4.29636230592223e-07
1723059347.8305395,469,-3.970563398070226e-07
1723059360.580317,470,-3.773629657644051e-07
1723059373.30902,471,-3.819405947069754e-07
1723059386.536124,472,-4.2275783584955207e-07
1723059412.4342232,474,-3.8017628867237363e-07
1723059425.230163,475,-3.63773096978548e-07
1723059437.9862082,476,-3.646671586921002e-07
1723059463.8333542,478,-3.4050344766001217e-07
1723059476.736135,479,-3.189504127476539e-07
1723059489.404242,480,-3.3048985415007337e-07
1723059502.266565,481,-2.9290316660990356e-07
1723059515.0840733,482,-3.109574038262508e-07
1723059527.9047902,483,-3.2068490440906317e-07
1723059540.5810013,484,-3.345370203078346e-07
1723059553.2072139,485,-3.627180831244914e-07
1723059565.8610759,486,-3.535628252393508e-07
1723059578.6022735,487,-3.573059927930444e-07
1723059591.918997,488,-3.53956210119577e-07
1723059604.7220237,489,-3.3397674314983306e-07
1723059617.5671341,490,-3.428697539220593e-07
1723059630.3389704,491,-3.45301600646053e-07
1723059643.2356918,492,-3.4058092523991945e-07
1723059668.5965953,494,-3.509044574911968e-07
1723059681.3639379,495,-3.5657882335726754e-07
1723059694.013959,496,-3.4854411978813005e-07
1723059706.7601738,497,-3.6652087942457e-07
1723059719.472492,498,-3.610610690429894e-07
1723059732.121821,499,-3.69775278841189e-07
1723059744.8818307,500,-3.8522480849678686e-07
1723059770.5662594,502,-3.9448735833502724e-07
1723059783.2653942,503,-3.732204163497954e-07
1723059795.9735203,504,-3.608703593727114e-07
1723059808.687839,505,-3.645181436695566e-07
1723059834.0788767,507,-3.473996912362054e-07
1723059847.1300707,508,-3.2020804496823985e-07
1723059859.747553,509,-3.5241839668742614e-07
1723059872.4076998,510,-3.0564066832994286e-07
1723059885.124435,511,-3.284573324435769e-07
1723059897.898822,512,-3.051161741041142e-07
1723059910.8382504,513,-2.8239486482561915e-07
1723059923.5819545,514,-2.723812997373898e-07
1723059936.2823727,515,-2.411484558706434e-07
1723059961.5080693,517,-2.2825001622095442e-07
